================ Training Loss (Thu Dec  19 11:21:34 2024) ================ 
(epoch: 1, iters: 385, time: 0.420, data: 0.028) G_GAN: 0.784 G_L1: 86.203 D_real: 2.487 D_fake: 1.232
(epoch: 2, iters: 770, time: 0.420, data: 0.028) G_GAN: 1.892 G_L1: 78.129 D_real: 0.256 D_fake: 0.289
(epoch: 3, iters: 1155, time: 0.420, data: 0.028) G_GAN: 2.734 G_L1: 98.423 D_real: 0.181 D_fake: 0.452
(epoch: 4, iters: 1541, time: 0.420, data: 0.028) G_GAN: 1.962 G_L1: 102.583 D_real: 0.075 D_fake: 0.637
(epoch: 5, iters: 1926, time: 0.420, data: 0.028) G_GAN: 1.438 G_L1: 74.350 D_real: 0.489 D_fake: 0.123
(epoch: 6, iters: 2311, time: 0.420, data: 0.028) G_GAN: 1.483 G_L1: 53.867 D_real: 0.771 D_fake: -0.279
(epoch: 7, iters: 2697, time: 0.420, data: 0.028) G_GAN: 1.892 G_L1: 48.268 D_real: 0.763 D_fake: -0.391
(epoch: 8, iters: 3082, time: 0.420, data: 0.028) G_GAN: 2.487 G_L1: 52.321 D_real: 0.574 D_fake: -0.309
(epoch: 9, iters: 3467, time: 0.420, data: 0.028) G_GAN: 3.090 G_L1: 60.793 D_real: 0.312 D_fake: -0.128
(epoch: 10, iters: 3853, time: 0.420, data: 0.028) G_GAN: 3.523 G_L1: 68.451 D_real: 0.086 D_fake: 0.056
(epoch: 11, iters: 4238, time: 0.420, data: 0.028) G_GAN: 3.655 G_L1: 71.242 D_real: -0.020 D_fake: 0.167
(epoch: 12, iters: 4623, time: 0.420, data: 0.028) G_GAN: 3.546 G_L1: 69.826 D_real: -0.020 D_fake: 0.209
(epoch: 13, iters: 5008, time: 0.420, data: 0.028) G_GAN: 3.304 G_L1: 66.043 D_real: 0.045 D_fake: 0.203
(epoch: 14, iters: 5394, time: 0.420, data: 0.028) G_GAN: 3.039 G_L1: 61.731 D_real: 0.136 D_fake: 0.172
(epoch: 15, iters: 5779, time: 0.420, data: 0.028) G_GAN: 2.857 G_L1: 58.729 D_real: 0.212 D_fake: 0.139
(epoch: 16, iters: 6164, time: 0.420, data: 0.028) G_GAN: 2.837 G_L1: 58.378 D_real: 0.243 D_fake: 0.122
(epoch: 17, iters: 6550, time: 0.420, data: 0.028) G_GAN: 2.933 G_L1: 60.023 D_real: 0.234 D_fake: 0.121
(epoch: 18, iters: 6935, time: 0.420, data: 0.028) G_GAN: 3.072 G_L1: 62.509 D_real: 0.200 D_fake: 0.134
(epoch: 19, iters: 7320, time: 0.420, data: 0.028) G_GAN: 3.179 G_L1: 64.683 D_real: 0.155 D_fake: 0.157
(epoch: 20, iters: 7706, time: 0.420, data: 0.028) G_GAN: 3.178 G_L1: 65.390 D_real: 0.113 D_fake: 0.187
(epoch: 21, iters: 8091, time: 0.420, data: 0.028) G_GAN: 3.019 G_L1: 63.847 D_real: 0.085 D_fake: 0.221
(epoch: 22, iters: 8476, time: 0.420, data: 0.028) G_GAN: 2.747 G_L1: 60.751 D_real: 0.071 D_fake: 0.255
(epoch: 23, iters: 8861, time: 0.420, data: 0.028) G_GAN: 2.431 G_L1: 57.168 D_real: 0.065 D_fake: 0.287
(epoch: 24, iters: 9247, time: 0.420, data: 0.028) G_GAN: 2.140 G_L1: 54.166 D_real: 0.063 D_fake: 0.312
(epoch: 25, iters: 9632, time: 0.420, data: 0.028) G_GAN: 1.945 G_L1: 52.812 D_real: 0.061 D_fake: 0.327
(epoch: 26, iters: 10017, time: 0.420, data: 0.028) G_GAN: 1.895 G_L1: 53.860 D_real: 0.055 D_fake: 0.330
(epoch: 27, iters: 10403, time: 0.420, data: 0.028) G_GAN: 1.967 G_L1: 56.813 D_real: 0.047 D_fake: 0.324
(epoch: 28, iters: 10788, time: 0.420, data: 0.028) G_GAN: 2.119 G_L1: 60.864 D_real: 0.036 D_fake: 0.312
(epoch: 29, iters: 11173, time: 0.420, data: 0.028) G_GAN: 2.309 G_L1: 65.203 D_real: 0.025 D_fake: 0.296
(epoch: 30, iters: 11559, time: 0.420, data: 0.028) G_GAN: 2.495 G_L1: 69.022 D_real: 0.016 D_fake: 0.282
(epoch: 31, iters: 11944, time: 0.420, data: 0.028) G_GAN: 2.642 G_L1: 71.676 D_real: 0.009 D_fake: 0.271
(epoch: 32, iters: 12329, time: 0.420, data: 0.028) G_GAN: 2.749 G_L1: 73.174 D_real: 0.005 D_fake: 0.264
(epoch: 33, iters: 12714, time: 0.420, data: 0.028) G_GAN: 2.821 G_L1: 73.690 D_real: 0.003 D_fake: 0.259
(epoch: 34, iters: 13100, time: 0.420, data: 0.028) G_GAN: 2.864 G_L1: 73.398 D_real: 0.003 D_fake: 0.256
(epoch: 35, iters: 13485, time: 0.420, data: 0.028) G_GAN: 2.883 G_L1: 72.470 D_real: 0.004 D_fake: 0.255
(epoch: 36, iters: 13870, time: 0.420, data: 0.028) G_GAN: 2.885 G_L1: 71.082 D_real: 0.008 D_fake: 0.254
(epoch: 37, iters: 14256, time: 0.420, data: 0.028) G_GAN: 2.875 G_L1: 69.405 D_real: 0.013 D_fake: 0.253
(epoch: 38, iters: 14641, time: 0.420, data: 0.028) G_GAN: 2.859 G_L1: 67.615 D_real: 0.018 D_fake: 0.251
(epoch: 39, iters: 15026, time: 0.420, data: 0.028) G_GAN: 2.843 G_L1: 65.883 D_real: 0.025 D_fake: 0.247
(epoch: 40, iters: 15412, time: 0.420, data: 0.028) G_GAN: 2.832 G_L1: 64.384 D_real: 0.032 D_fake: 0.241
(epoch: 41, iters: 15797, time: 0.420, data: 0.028) G_GAN: 2.831 G_L1: 63.253 D_real: 0.040 D_fake: 0.232
(epoch: 42, iters: 16182, time: 0.420, data: 0.028) G_GAN: 2.840 G_L1: 62.470 D_real: 0.047 D_fake: 0.220
(epoch: 43, iters: 16567, time: 0.420, data: 0.028) G_GAN: 2.859 G_L1: 61.977 D_real: 0.055 D_fake: 0.206
(epoch: 44, iters: 16953, time: 0.420, data: 0.028) G_GAN: 2.887 G_L1: 61.716 D_real: 0.062 D_fake: 0.191
(epoch: 45, iters: 17338, time: 0.420, data: 0.028) G_GAN: 2.923 G_L1: 61.630 D_real: 0.069 D_fake: 0.174
(epoch: 46, iters: 17723, time: 0.420, data: 0.028) G_GAN: 2.967 G_L1: 61.660 D_real: 0.076 D_fake: 0.155
(epoch: 47, iters: 18109, time: 0.420, data: 0.028) G_GAN: 3.017 G_L1: 61.749 D_real: 0.082 D_fake: 0.137
